Club,Rank,Name,Division,BodyweightKg,TotalKg,Points
Galacticos,1,Maria Magdalena Goričanec,Women's Raw Junior Bench Only,73.3,92.5,71.97
Galacticos,2,Karla Kolić,Women's Raw Open Bench Only,62.4,72.5,60.83
Galacticos,3,Sara Magaš,Women's Raw Open Bench Only,65.3,72.5,59.35
Galacticos,4,Matea Kucljak,Women's Raw Junior Bench Only,51.9,52.5,50.34
Galacticos,5,Valeria Matić,Women's Raw Open Bench Only,55.1,42.5,38.77
Power Crew,1,Tatjana Martić,Women's Raw Open Bench Only,105.0,85.0,61.02
Pozoj,1,Sindy Bubek,Women's Raw Open Bench Only,48.3,85.0,87.43
Pozoj,2,Melisa Matulin,Women's Raw Junior Bench Only,56.6,85.0,75.98
Pozoj,3,Karla Škvorc,Women's Raw Open Bench Only,55.0,62.5,57.09
Pozoj,4,Dragana Strahija,Women's Raw Open Bench Only,55.7,50.0,45.23
Pozoj,5,Ivana Kolar,Women's Raw Sub-Junior Bench Only,47.2,35.0,36.92
Rebel Warrior,1,Anamarija Mamić,Women's Raw Sub-Junior Bench Only,56.1,78.0,70.18
Rebel Warrior,2,Ana Maleš,Women's Raw Junior Bench Only,67.5,65.0,52.35
Virovitica,1,Maja Ileš,Women's Raw Master II Bench Only,99.8,85.0,61.4
Virovitica,2,Enia Majetić,Women's Raw Open Bench Only,64.8,52.5,43.15
Štanga,1,Dora Tot,Women's Raw Open Bench Only,60.3,70.0,59.95
